2025-10-24 13:39:41,475 - [INFO] - 步骤 1: 初始化投标优化模型...
2025-10-24 13:39:41,476 - [INFO] - 步驟 2: 執行神經動力學自適應網格投標策略優化...
2025-10-24 13:39:41,476 - [INFO] - --- 開始執行神經動力學自適應網格投標策略優化（模式: full）---
2025-10-24 13:39:41,490 - [INFO] - ✅ 数据输入配置:
2025-10-24 13:39:41,490 - [INFO] -   DAM（日前市场）: 'ensemble' (预测输出)
2025-10-24 13:39:41,491 - [INFO] -   RTM（实时市场）: 'actual' (ensemble预测)
2025-10-24 13:39:41,491 - [INFO] - ✅ 价格数据加载完成:
2025-10-24 13:39:41,491 - [INFO] -   DAM数据点数: 1190
2025-10-24 13:39:41,491 - [INFO] -   RTM数据点数: 1190
2025-10-24 13:39:41,492 - [INFO] -   DAM价格范围: 250.12 - 491.22 CNY/MWh
2025-10-24 13:39:41,492 - [INFO] -   RTM价格范围: 0.00 - 670.00 CNY/MWh
2025-10-24 13:39:41,492 - [INFO] - 使用预设价格范围: (350.0, 500.0)
2025-10-24 13:39:41,492 - [INFO] - 最终价格参数: 范围 (350.0, 500.0), 步长 1.0
2025-10-24 13:39:41,492 - [INFO] - 预测价格统计: 最小值 250.1, 最大值 491.2, 平均值 395.5
2025-10-24 13:39:41,492 - [INFO] - ✅ 价格范围跨越边际成本(380.0)，优化空间合理
2025-10-24 13:39:41,492 - [INFO] - 📊 盈利价格区间占比: 80.0%
2025-10-24 13:39:41,493 - [INFO] - 價格分布已擬合: DA(μ=395.50, σ=31.67), RT(μ=388.48, σ=58.77)
2025-10-24 13:39:41,493 - [INFO] - 使用神經動力學自適應網格優化方法進行投標策略優化...
2025-10-24 13:39:41,493 - [INFO] - ============================================================
2025-10-24 13:39:41,493 - [INFO] - 開始神經動力學自適應網格優化
2025-10-24 13:39:41,493 - [INFO] - ============================================================
2025-10-24 13:39:41,493 - [INFO] - 第一步：粗網格優化
2025-10-24 13:39:41,494 - [INFO] - 開始遍歷日前價格網格進行神經動力學優化，網格大小: 151 x 151
2025-10-24 13:39:41,494 - [INFO] - 粗網格優化進度: 1/151, 當前DA價格: 350.00
2025-10-24 13:39:41,497 - [INFO] - 粗網格優化進度: 2/151, 當前DA價格: 351.00
2025-10-24 13:39:41,498 - [INFO] - 粗網格優化進度: 3/151, 當前DA價格: 352.00
2025-10-24 13:39:41,498 - [INFO] - 粗網格優化進度: 4/151, 當前DA價格: 353.00
2025-10-24 13:39:41,501 - [INFO] - 粗網格優化進度: 5/151, 當前DA價格: 354.00
2025-10-24 13:39:41,503 - [INFO] - 粗網格優化進度: 6/151, 當前DA價格: 355.00
2025-10-24 13:39:41,549 - [INFO] - 粗網格優化進度: 7/151, 當前DA價格: 356.00
2025-10-24 13:39:41,554 - [INFO] - 粗網格優化進度: 8/151, 當前DA價格: 357.00
2025-10-24 13:39:41,557 - [INFO] - 粗網格優化進度: 9/151, 當前DA價格: 358.00
2025-10-24 13:39:41,601 - [INFO] - 粗網格優化進度: 10/151, 當前DA價格: 359.00
2025-10-24 13:39:41,603 - [INFO] - 粗網格優化進度: 11/151, 當前DA價格: 360.00
2025-10-24 13:39:41,612 - [INFO] - 粗網格優化進度: 12/151, 當前DA價格: 361.00
2025-10-24 13:39:41,613 - [INFO] - 粗網格優化進度: 13/151, 當前DA價格: 362.00
2025-10-24 13:39:41,616 - [INFO] - 粗網格優化進度: 14/151, 當前DA價格: 363.00
2025-10-24 13:39:41,627 - [INFO] - 粗網格優化進度: 15/151, 當前DA價格: 364.00
2025-10-24 13:39:41,638 - [INFO] - 粗網格優化進度: 16/151, 當前DA價格: 365.00
2025-10-24 13:39:41,640 - [INFO] - 粗網格優化進度: 17/151, 當前DA價格: 366.00
2025-10-24 13:39:41,659 - [INFO] - 粗網格優化進度: 18/151, 當前DA價格: 367.00
2025-10-24 13:39:41,660 - [INFO] - 粗網格優化進度: 19/151, 當前DA價格: 368.00
2025-10-24 13:39:41,663 - [INFO] - 粗網格優化進度: 20/151, 當前DA價格: 369.00
